Original,Suspect
"The quick brown fox jumps over the lazy dog","A fast brown fox leaps over a sleepy dog"
"To be or not to be, that is the question","Whether to exist or not, that remains the question"
"All that glitters is not gold","Not everything shiny is genuine"
"I think therefore I am","I exist because I think"
"An apple a day keeps the doctor away","Eating an apple daily may prevent a doctor's visit"
"Rome was not built in a day","The city of Rome took time to be constructed"
"A journey of a thousand miles begins with a single step","A long journey starts with one small step"
"Actions speak louder than words","What you do matters more than what you say"
"Beauty is in the eye of the beholder","What is beautiful depends on the observer"
"Necessity is the mother of invention","The need for something drives innovation"